nombre,actividad_tipo,municipio_codigo,municipio_nombre,longitud,latitud,year
Zorajero,cafeteria,38031,Los Realejos,-16.6125717,28.38338396,2016-01-01
Zoofarma,mascotas,38020,Güimar,-16.41254673,28.31495195,2017-01-01
Zoofarma,mascotas,38020,Güimar,-16.41254673,28.31495195,2018-01-01
Zoofarma,mascotas,38020,Güimar,-16.41254673,28.31495195,2016-01-01
Zone23 Home VV,vivienda vacacional,38005,Arico,-16.4307988,28.15175247,2019-01-01
Zone23 Home VV,vivienda vacacional,38005,Arico,-16.4307988,28.15175247,2018-01-01
Zona Zero Tendencias,moda complementos,38006,Arona,-16.71812307,28.05212866,2016-01-01
Zona Zero Tendencias,moda complementos,38006,Arona,-16.71812307,28.05212866,2017-01-01
Zona Zero,moda complementos,38026,La Orotava,-16.54729503,28.39638242,2017-01-01
Zona Zero,moda complementos,38026,La Orotava,-16.54729503,28.39638242,2016-01-01
Zona Zero,moda complementos,38028,Puerto de la Cruz,-16.54314767,28.41548945,2016-01-01
Zona Zero,moda complementos,38038,Santa Cruz de Tenerife,-16.25876,28.45713899,2016-01-01
Zona Recreativa Cruz de Toledo,actividades deporte ocio,38010,Buenavista del Norte,-16.85520312,28.36949871,2022-01-01
Zona Recreativa Cruz de Toledo,actividades deporte ocio,38010,Buenavista del Norte,-16.85520312,28.36949871,2018-01-01
Zona Recreativa Cruz de Toledo,actividades deporte ocio,38010,Buenavista del Norte,-16.85520312,28.36949871,2019-01-01
Zona Recreativa Cruz de Toledo,actividades deporte ocio,38010,Buenavista del Norte,-16.85520312,28.36949871,2020-01-01
Zona Recreativa Cruz de Toledo,actividades deporte ocio,38010,Buenavista del Norte,-16.85520312,28.36949871,2021-01-01
Zona Recreativa Cruz de Toledo,actividades deporte ocio,38010,Buenavista del Norte,-16.85520312,28.36949871,2023-01-01
Zona Motos,concesionario exposicion automocion,38017,Granadilla de Abona,-16.559614,28.08524699,2022-01-01
Zona Motos,concesionario exposicion automocion,38017,Granadilla de Abona,-16.559614,28.08524699,2016-01-01
Zona Motos,concesionario exposicion automocion,38017,Granadilla de Abona,-16.559614,28.08524699,2017-01-01
Zona Motos,concesionario exposicion automocion,38017,Granadilla de Abona,-16.559614,28.08524699,2018-01-01
Zona Motos,concesionario exposicion automocion,38017,Granadilla de Abona,-16.559614,28.08524699,2019-01-01
Zona Motos,concesionario exposicion automocion,38017,Granadilla de Abona,-16.559614,28.08524699,2020-01-01
Zona Motos,concesionario exposicion automocion,38017,Granadilla de Abona,-16.559614,28.08524699,2021-01-01
Zona Motos,concesionario exposicion automocion,38017,Granadilla de Abona,-16.559614,28.08524699,2023-01-01
Zona G Informatica,informatica telecomunicaciones,38038,Santa Cruz de Tenerife,-16.27254716,28.46722671,2016-01-01
Zona G Informatica,informatica telecomunicaciones,38038,Santa Cruz de Tenerife,-16.27254716,28.46722671,2017-01-01
Zomer Delight,bar,38006,Arona,-16.72134772,28.05126294,2016-01-01
Zoguez,moda complementos,38039,Santa Úrsula,-16.49030509,28.42598767,2017-01-01
Zoguez,moda complementos,38039,Santa Úrsula,-16.49030509,28.42598767,2018-01-01
Zoguez,moda complementos,38039,Santa Úrsula,-16.49030509,28.42598767,2016-01-01
Zoe's Cafe,bar cafeteria,38017,Granadilla de Abona,-16.56302688,28.03316069,2016-01-01
Zoe's Cafe,bar cafeteria,38017,Granadilla de Abona,-16.56302688,28.03316069,2018-01-01
