TIME_PERIOD	MEDIDAS	TERRITORIO	ACTIVIDAD_ECONOMICA	OBS_VALUE	ESTADO_OBSERVACION	NOTAS_OBSERVACION	CONFIDENCIALIDAD_OBSERVACION
2022	Empresa inscrita en la Seguridad Social	Buenavista del Norte	Construcción	3			
2021	Empresa inscrita en la Seguridad Social	Buenavista del Norte	Construcción	5			
2020	Empresa inscrita en la Seguridad Social	Buenavista del Norte	Construcción	4			
2019	Empresa inscrita en la Seguridad Social	Buenavista del Norte	Construcción	6			
2018	Empresa inscrita en la Seguridad Social	Buenavista del Norte	Construcción	5			
2017	Empresa inscrita en la Seguridad Social	Buenavista del Norte	Construcción	5			
2023	Empresa inscrita en la Seguridad Social	Candelaria	Construcción	69			
2022	Empresa inscrita en la Seguridad Social	Candelaria	Construcción	68			
2021	Empresa inscrita en la Seguridad Social	Candelaria	Construcción	65			
2020	Empresa inscrita en la Seguridad Social	Candelaria	Construcción	66			
2019	Empresa inscrita en la Seguridad Social	Candelaria	Construcción	63			
2018	Empresa inscrita en la Seguridad Social	Candelaria	Construcción	61			
2017	Empresa inscrita en la Seguridad Social	Candelaria	Construcción	59			
2023	Empresa inscrita en la Seguridad Social	Fasnia	Construcción	7			
2022	Empresa inscrita en la Seguridad Social	Fasnia	Construcción	4			
2021	Empresa inscrita en la Seguridad Social	Fasnia	Construcción	5			
2020	Empresa inscrita en la Seguridad Social	Fasnia	Construcción	6			
2019	Empresa inscrita en la Seguridad Social	Fasnia	Construcción	6			
2018	Empresa inscrita en la Seguridad Social	Fasnia	Construcción	3			
2017	Empresa inscrita en la Seguridad Social	Fasnia	Construcción	3			
2023	Empresa inscrita en la Seguridad Social	Garachico	Construcción	7			
2022	Empresa inscrita en la Seguridad Social	Garachico	Construcción	7			
2021	Empresa inscrita en la Seguridad Social	Garachico	Construcción	9			
2020	Empresa inscrita en la Seguridad Social	Garachico	Construcción	7			
2019	Empresa inscrita en la Seguridad Social	Garachico	Construcción	6			
2018	Empresa inscrita en la Seguridad Social	Garachico	Construcción	5			
2017	Empresa inscrita en la Seguridad Social	Garachico	Construcción	5			
2023	Empresa inscrita en la Seguridad Social	Granadilla de Abona	Construcción	165			
2022	Empresa inscrita en la Seguridad Social	Granadilla de Abona	Construcción	161			
2021	Empresa inscrita en la Seguridad Social	Granadilla de Abona	Construcción	152			
2020	Empresa inscrita en la Seguridad Social	Granadilla de Abona	Construcción	139			
