TIME_PERIOD	MEDIDAS	TERRITORIO	ACTIVIDAD_ECONOMICA	OBS_VALUE	ESTADO_OBSERVACION	NOTAS_OBSERVACION	CONFIDENCIALIDAD_OBSERVACION
2023	Empresa inscrita en la Seguridad Social	Tegueste	Actividades artísticas, recreativas y de entretenimiento	3			
2022	Empresa inscrita en la Seguridad Social	Tegueste	Actividades artísticas, recreativas y de entretenimiento	5			
2021	Empresa inscrita en la Seguridad Social	Tegueste	Actividades artísticas, recreativas y de entretenimiento	5			
2020	Empresa inscrita en la Seguridad Social	Tegueste	Actividades artísticas, recreativas y de entretenimiento	5			
2019	Empresa inscrita en la Seguridad Social	Tegueste	Actividades artísticas, recreativas y de entretenimiento	7			
2018	Empresa inscrita en la Seguridad Social	Tegueste	Actividades artísticas, recreativas y de entretenimiento	6			
2017	Empresa inscrita en la Seguridad Social	Tegueste	Actividades artísticas, recreativas y de entretenimiento	5			
2016	Empresa inscrita en la Seguridad Social	Tegueste	Actividades artísticas, recreativas y de entretenimiento	5			
2015	Empresa inscrita en la Seguridad Social	Tegueste	Actividades artísticas, recreativas y de entretenimiento	5			
2023	Empresa inscrita en la Seguridad Social	La Victoria de Acentejo	Actividades artísticas, recreativas y de entretenimiento	6			
2022	Empresa inscrita en la Seguridad Social	La Victoria de Acentejo	Actividades artísticas, recreativas y de entretenimiento	7			
2021	Empresa inscrita en la Seguridad Social	La Victoria de Acentejo	Actividades artísticas, recreativas y de entretenimiento	5			
2020	Empresa inscrita en la Seguridad Social	La Victoria de Acentejo	Actividades artísticas, recreativas y de entretenimiento	4			
2019	Empresa inscrita en la Seguridad Social	La Victoria de Acentejo	Actividades artísticas, recreativas y de entretenimiento	4			
2018	Empresa inscrita en la Seguridad Social	La Victoria de Acentejo	Actividades artísticas, recreativas y de entretenimiento	3			
2017	Empresa inscrita en la Seguridad Social	La Victoria de Acentejo	Actividades artísticas, recreativas y de entretenimiento	3			
2016	Empresa inscrita en la Seguridad Social	La Victoria de Acentejo	Actividades artísticas, recreativas y de entretenimiento	2			
2015	Empresa inscrita en la Seguridad Social	La Victoria de Acentejo	Actividades artísticas, recreativas y de entretenimiento	2			
2023	Empresa inscrita en la Seguridad Social	Vilaflor de Chasna	Actividades artísticas, recreativas y de entretenimiento	1			
2022	Empresa inscrita en la Seguridad Social	Vilaflor de Chasna	Actividades artísticas, recreativas y de entretenimiento	1			
2021	Empresa inscrita en la Seguridad Social	Vilaflor de Chasna	Actividades artísticas, recreativas y de entretenimiento	1			
2020	Empresa inscrita en la Seguridad Social	Vilaflor de Chasna	Actividades artísticas, recreativas y de entretenimiento	1			
2019	Empresa inscrita en la Seguridad Social	Vilaflor de Chasna	Actividades artísticas, recreativas y de entretenimiento	2			
2018	Empresa inscrita en la Seguridad Social	Vilaflor de Chasna	Actividades artísticas, recreativas y de entretenimiento	2			
2017	Empresa inscrita en la Seguridad Social	Vilaflor de Chasna	Actividades artísticas, recreativas y de entretenimiento	2			
2016	Empresa inscrita en la Seguridad Social	Vilaflor de Chasna	Actividades artísticas, recreativas y de entretenimiento	1			
2015	Empresa inscrita en la Seguridad Social	Vilaflor de Chasna	Actividades artísticas, recreativas y de entretenimiento	0			
