TIME_PERIOD	MEDIDAS	TERRITORIO	ACTIVIDAD_ECONOMICA	OBS_VALUE	ESTADO_OBSERVACION	NOTAS_OBSERVACION	CONFIDENCIALIDAD_OBSERVACION
2016	Empresa inscrita en la Seguridad Social	Buenavista del Norte	Actividades artísticas, recreativas y de entretenimiento	1			
2015	Empresa inscrita en la Seguridad Social	Buenavista del Norte	Actividades artísticas, recreativas y de entretenimiento	2			
2023	Empresa inscrita en la Seguridad Social	Candelaria	Actividades artísticas, recreativas y de entretenimiento	15			
2022	Empresa inscrita en la Seguridad Social	Candelaria	Actividades artísticas, recreativas y de entretenimiento	13			
2021	Empresa inscrita en la Seguridad Social	Candelaria	Actividades artísticas, recreativas y de entretenimiento	14			
2020	Empresa inscrita en la Seguridad Social	Candelaria	Actividades artísticas, recreativas y de entretenimiento	12			
2019	Empresa inscrita en la Seguridad Social	Candelaria	Actividades artísticas, recreativas y de entretenimiento	12			
2018	Empresa inscrita en la Seguridad Social	Candelaria	Actividades artísticas, recreativas y de entretenimiento	10			
2017	Empresa inscrita en la Seguridad Social	Candelaria	Actividades artísticas, recreativas y de entretenimiento	11			
2016	Empresa inscrita en la Seguridad Social	Candelaria	Actividades artísticas, recreativas y de entretenimiento	11			
2015	Empresa inscrita en la Seguridad Social	Candelaria	Actividades artísticas, recreativas y de entretenimiento	7			
2023	Empresa inscrita en la Seguridad Social	Fasnia	Actividades artísticas, recreativas y de entretenimiento	1			
2022	Empresa inscrita en la Seguridad Social	Fasnia	Actividades artísticas, recreativas y de entretenimiento	1			
2021	Empresa inscrita en la Seguridad Social	Fasnia	Actividades artísticas, recreativas y de entretenimiento	1			
2020	Empresa inscrita en la Seguridad Social	Fasnia	Actividades artísticas, recreativas y de entretenimiento	1			
2019	Empresa inscrita en la Seguridad Social	Fasnia	Actividades artísticas, recreativas y de entretenimiento	2			
2018	Empresa inscrita en la Seguridad Social	Fasnia	Actividades artísticas, recreativas y de entretenimiento	1			
2017	Empresa inscrita en la Seguridad Social	Fasnia	Actividades artísticas, recreativas y de entretenimiento	1			
2016	Empresa inscrita en la Seguridad Social	Fasnia	Actividades artísticas, recreativas y de entretenimiento	0			
2015	Empresa inscrita en la Seguridad Social	Fasnia	Actividades artísticas, recreativas y de entretenimiento	1			
2023	Empresa inscrita en la Seguridad Social	Garachico	Actividades artísticas, recreativas y de entretenimiento	2			
2022	Empresa inscrita en la Seguridad Social	Garachico	Actividades artísticas, recreativas y de entretenimiento	2			
2021	Empresa inscrita en la Seguridad Social	Garachico	Actividades artísticas, recreativas y de entretenimiento	2			
2020	Empresa inscrita en la Seguridad Social	Garachico	Actividades artísticas, recreativas y de entretenimiento	2			
2019	Empresa inscrita en la Seguridad Social	Garachico	Actividades artísticas, recreativas y de entretenimiento	2			
2018	Empresa inscrita en la Seguridad Social	Garachico	Actividades artísticas, recreativas y de entretenimiento	2			
2017	Empresa inscrita en la Seguridad Social	Garachico	Actividades artísticas, recreativas y de entretenimiento	2			
2016	Empresa inscrita en la Seguridad Social	Garachico	Actividades artísticas, recreativas y de entretenimiento	2			
2015	Empresa inscrita en la Seguridad Social	Garachico	Actividades artísticas, recreativas y de entretenimiento	2			
2023	Empresa inscrita en la Seguridad Social	Granadilla de Abona	Actividades artísticas, recreativas y de entretenimiento	27			
